gname,target,Number_of_Cases
Aceh Singkil Islamic Care Youth Students Association (PPI),Religious Figures/Institutions,3
Achik Matgrik Army (AMA),Business,1
Achik National Cooperative Army (ANCA),Educational Institution,1
Achik National Cooperative Army (ANCA),Police,1
Achik National Cooperative Army (ANCA),Private Citizens & Property,1
Achik National Cooperative Army (ANCA),Transportation,1
Achik National Liberation Army (ANLA),Business,1
Achik National Liberation Army (ANLA),Private Citizens & Property,3
Achik National Volunteer Council (ANVC),Police,1
Achik National Volunteer Council-B (ANVC-B),Business,3
Achik National Volunteer Council-B (ANVC-B),Military,1
Achik National Volunteer Council-B (ANVC-B),Police,1
Achik National Volunteer Council-B (ANVC-B),Private Citizens & Property,3
Achik National Volunteer Council-B (ANVC-B),Transportation,1
Achik Songna An'pachakgipa Kotok (ASAK),Business,3
Achik Songna An'pachakgipa Kotok (ASAK),Educational Institution,2
Achik Songna An'pachakgipa Kotok (ASAK),Government (General),2
Achik Songna An'pachakgipa Kotok (ASAK),Police,1
Achik Songna An'pachakgipa Kotok (ASAK),Private Citizens & Property,8
Achik Songna An'pachakgipa Kotok (ASAK),Transportation,1
Achik Songna An'pachakgipa Kotok (ASAK),Unknown,1
Achik Tiger Force,Business,1
Achwan-I-Mushbani,Tourists,1
Actiefront Nationalistisch Nederland,Government (General),1
Actiefront Nationalistisch Nederland,Journalists & Media,1
Action Directe,Airports & Aircraft,2
Action Directe,Business,23
Action Directe,Government (Diplomatic),2
Action Directe,Government (General),12
Action Directe,Journalists & Media,3
Action Directe,Military,3
Action Directe,NGO,2
Action Directe,Police,4
Action Directe,Private Citizens & Property,2
Action Directe,Telecommunication,1
Action Directe,Utilities,1
Action Front Nationalist Librium,Business,1
Action Front for the Liberation of the Baltic Countries,Business,1
Action Front for the Liberation of the Baltic Countries,Government (Diplomatic),1
Action Group for Communism,Government (Diplomatic),1
Action Group for the Destruction of the Police State,Police,1
Action Squad,Journalists & Media,1
Action Struggle Against the World,Maritime,1
Active Espirit de Corps of the Argentina Army,Military,1
Activists,Private Citizens & Property,4
Adan Abyan Islamic Army (AAIA),Military,1
Adan Abyan Islamic Army (AAIA),Private Citizens & Property,1
Adan-Abyan Province of the Islamic State,Airports & Aircraft,1
Adan-Abyan Province of the Islamic State,Educational Institution,1
Adan-Abyan Province of the Islamic State,Government (General),8
Adan-Abyan Province of the Islamic State,Military,21
Adan-Abyan Province of the Islamic State,Police,6
Adan-Abyan Province of the Islamic State,Religious Figures/Institutions,4
Adan-Abyan Province of the Islamic State,Terrorists/Non-State Militia,4
Adan-Abyan Province of the Islamic State,Utilities,1
Adan-Abyan Province of the Islamic State,Violent Political Party,1
Adivasi Cobra Militants of Assam (ACMA),Private Citizens & Property,1
Adivasi National Liberation Army (ANLA),Business,2
Adivasi National Liberation Army (ANLA),Educational Institution,1
Adivasi National Liberation Army (ANLA),Private Citizens & Property,1
Adivasi National Liberation Army (ANLA),Transportation,2
Adivasi People's Army (APA),Private Citizens & Property,1
Adivasi People's Army (APA),Transportation,2
Afar Revolutionary Democratic Unity Front,Government (Diplomatic),1
Afar Revolutionary Democratic Unity Front,Tourists,2
Afar rebels,Educational Institution,1
Afghan Guerrillas,Educational Institution,1
Afghan Guerrillas,NGO,1
Afghan Guerrillas,Private Citizens & Property,6
Afghan Merceneries,Military,1
Afghan Mujahideen,Government (General),1
Afghan Mujahideen,Military,3
Afghan Mujahideen,Private Citizens & Property,1
Afghan Mujahideen,Utilities,2
Afghan Rebels,Government (Diplomatic),1
Afghan Rebels,Military,1
Afghan Rebels,Transportation,1
Afghan Revolutionary Front,Business,1
Afghan War Veterans,Business,1
Afghans,Business,2
Afghans,Government (Diplomatic),1
Afghans,Religious Figures/Institutions,1
Africa Marine Commando,Food or Water Supply,1
Africa Marine Commando,Government (General),1
Africa Marine Commando,Maritime,2
Africa Marine Commando,Police,1
African National Congress (South Africa),Airports & Aircraft,1
African National Congress (South Africa),Business,58
African National Congress (South Africa),Educational Institution,1
African National Congress (South Africa),Food or Water Supply,2
African National Congress (South Africa),Government (Diplomatic),5
African National Congress (South Africa),Government (General),121
African National Congress (South Africa),Journalists & Media,1
African National Congress (South Africa),Military,64
African National Congress (South Africa),Police,224
African National Congress (South Africa),Private Citizens & Property,33
African National Congress (South Africa),Religious Figures/Institutions,1
African National Congress (South Africa),Telecommunication,1
African National Congress (South Africa),Transportation,34
African National Congress (South Africa),Utilities,46
African National Congress (South Africa),Violent Political Party,15
African-American extremists,Police,1
Afridi Tribe,Government (General),1
Afrikaner Resistance Movement (AWB),Business,1
Afrikaner Resistance Movement (AWB),Government (General),1
Afrikaner Resistance Movement (AWB),Journalists & Media,1
Afrikaner Resistance Movement (AWB),Police,1
Afrikaner Resistance Movement (AWB),Private Citizens & Property,2
"Aghwar ""Fire War"" Group",Government (Diplomatic),1
Agudat Israel Party,Private Citizens & Property,1
Agwelek Forces,Military,1
Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Educational Institution,1
Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,Private Citizens & Property,1
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),Private Citizens & Property,2
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),Religious Figures/Institutions,1
Ahlu-sunah Wal-jamea (Somalia),Government (General),2
Ahlu-sunah Wal-jamea (Somalia),Journalists & Media,4
Ahlu-sunah Wal-jamea (Somalia),Military,2
Ahlu-sunah Wal-jamea (Somalia),Private Citizens & Property,1
Ahlu-sunah Wal-jamea (Somalia),Terrorists/Non-State Militia,3
Ahmad Alawi al Muqbili,Airports & Aircraft,1
Ahmad Jibril,Violent Political Party,1
Ahmad Luebaesa Group,Government (General),1
Ahneish Militia,Business,1
Ahneish Militia,Food or Water Supply,1
Ahneish Militia,Private Citizens & Property,1
Ahrar Al-Jalil (Free People of the Galilee),Private Citizens & Property,2
Ahrar Al-Jalil (Free People of the Galilee),Religious Figures/Institutions,1
Ahrar Al-Jalil (Free People of the Galilee),Unknown,1
Ahrar al-Sham,Military,19
Ahrar al-Sham,Private Citizens & Property,8
Aibed Er-Rahman katibet,Military,1
Aidid Militia,Maritime,1
Air and Azawak Liberation Front,Government (General),1
Air and Azawak Liberation Front,Private Citizens & Property,1
Air and Azawak Liberation Front,Transportation,1
Airport Protesters,Airports & Aircraft,1
Airport Protesters,Private Citizens & Property,1
Aisha Umm-al Mouemeneen (Brigades of Aisha),Terrorists/Non-State Militia,1
Aitarak Militia,Private Citizens & Property,2
Ajnad Misr,Business,1
Ajnad Misr,Educational Institution,1
Ajnad Misr,Government (General),1
Ajnad Misr,Journalists & Media,1
Ajnad Misr,Police,26
Ajnad Misr,Private Citizens & Property,1
Ajnad Misr,Transportation,1
Ajnad al-Sham,Private Citizens & Property,1
Akali Dal Party,Government (General),1
Akali Dal Party,Religious Figures/Institutions,1
Akhil Terai Mukti Morcha (ATMM),Business,5
Akhil Terai Mukti Morcha (ATMM),Government (General),7
Akhil Terai Mukti Morcha (ATMM),Police,2
Akhil Terai Mukti Morcha (ATMM),Private Citizens & Property,1
Akhilesh Singh Gang,Private Citizens & Property,1
Al Bayda Province of the Islamic State,Private Citizens & Property,1
Al Bayda Province of the Islamic State,Terrorists/Non-State Militia,1
Al Zawahiri Loyalists,NGO,1
Al-Adl Wal Ihsane,Educational Institution,2
Al-Adl Wal Ihsane,Government (General),3
Al-Ahwaz Arab People's Democratic Front,Business,1
Al-Ahwaz Arab People's Democratic Front,Government (General),1
Al-Ahwaz Arab People's Democratic Front,Private Citizens & Property,1
Al-Aqsa Martyrs Brigade,Business,15
Al-Aqsa Martyrs Brigade,Educational Institution,1
Al-Aqsa Martyrs Brigade,Government (Diplomatic),2
Al-Aqsa Martyrs Brigade,Government (General),8
Al-Aqsa Martyrs Brigade,Journalists & Media,3
Al-Aqsa Martyrs Brigade,Military,27
Al-Aqsa Martyrs Brigade,Police,4
Al-Aqsa Martyrs Brigade,Private Citizens & Property,92
Al-Aqsa Martyrs Brigade,Religious Figures/Institutions,2
Al-Aqsa Martyrs Brigade,Transportation,12
Al-Aqsa Martyrs Brigade,Unknown,6
Al-Aqsa-Group,Government (Diplomatic),1
Al-Arifeen,Business,1
Al-Arifeen,Government (General),3
Al-Ashtar Brigades,Police,9
Al-Ashtar Brigades,Private Citizens & Property,2
Al-Ashtar Brigades,Religious Figures/Institutions,1
Al-Badr,Journalists & Media,1
Al-Badr,Police,1
Al-Bakazim,Business,1
Al-Bakazim,Private Citizens & Property,1
Al-Borkan Liberation Organization,Government (Diplomatic),2
Al-Da'wah Party,Government (General),1
Al-Fajr,Government (General),1
Al-Faran,Tourists,1
Al-Faran,Transportation,1
Al-Faruo Battalion,Business,1
Al-Faruo Battalion,Military,3
Al-Faruq Militia,Private Citizens & Property,1
Al-Fatah,Airports & Aircraft,1
Al-Fatah,Business,2
Al-Fatah,Government (General),12
Al-Fatah,Military,1
Al-Fatah,NGO,1
Al-Fatah,Police,1
Al-Fatah,Private Citizens & Property,22
Al-Fatah,Terrorists/Non-State Militia,3
Al-Fatah,Transportation,4
Al-Fatah,Unknown,1
Al-Fatah,Violent Political Party,8
Al-Fateh Al-Jadid,Airports & Aircraft,1
Al-Fatihin Army (AFA),Military,1
Al-Furqan (Tunisia),Government (General),1
Al-Furqan Brigades,Maritime,1
Al-Furqan Brigades,Private Citizens & Property,1
Al-Furqan Brigades,Telecommunication,1
Al-Gama'at al-Islamiyya (IG),Business,34
Al-Gama'at al-Islamiyya (IG),Government (General),6
Al-Gama'at al-Islamiyya (IG),Maritime,2
Al-Gama'at al-Islamiyya (IG),Other,1
Al-Gama'at al-Islamiyya (IG),Police,159
Al-Gama'at al-Islamiyya (IG),Private Citizens & Property,31
Al-Gama'at al-Islamiyya (IG),Religious Figures/Institutions,3
Al-Gama'at al-Islamiyya (IG),Terrorists/Non-State Militia,1
Al-Gama'at al-Islamiyya (IG),Tourists,8
Al-Gama'at al-Islamiyya (IG),Transportation,13
Al-Gama'at al-Islamiyya (IG),Unknown,1
Al-Hadid,Educational Institution,1
Al-Hadid,Tourists,1
Al-Hamas Mujahideen,Private Citizens & Property,1
Al-Haramayn Brigades,Police,3
Al-Haydariyah Battalion,Police,1
Al-Herak Al-Tihami Movement,Military,1
Al-Intiqami al-Pakistani,Business,1
Al-Intiqami al-Pakistani,Educational Institution,1
Al-Islah Party,Police,1
Al-Islah Party,Private Citizens & Property,2
Al-Islah Party,Religious Figures/Institutions,1
Al-Islah Party,Terrorists/Non-State Militia,1
Al-Ittihaad al-Islami (AIAI),Business,1
Al-Ittihaad al-Islami (AIAI),Government (General),1
Al-Ittihaad al-Islami (AIAI),NGO,1
Al-Ittihaad al-Islami (AIAI),Religious Figures/Institutions,1
Al-Ittihaad al-Islami (AIAI),Transportation,1
Al-Jehad,Government (General),2
Al-Jehad,Tourists,1
Al-Jihad (Pakistan),Educational Institution,1
Al-Jub Tribe,Private Citizens & Property,1
Al-Khobar,Business,2
Al-Khobar,Private Citizens & Property,2
Al-Khobar,Transportation,5
Al-Khobar,Utilities,1
Al-Ma'unah,Military,1
Al-Ma'unah,Religious Figures/Institutions,1
Al-Madani Brigade,Government (General),1
Al-Madina,Government (General),2
Al-Madina,Police,2
Al-Mansoorian,Government (General),6
Al-Mansoorian,Military,4
Al-Mansoorian,Police,6
Al-Mansoorian,Private Citizens & Property,1
Al-Marabitun Revolutionary Committee,Government (General),1
Al-Masni Tribe,Tourists,1
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Airports & Aircraft,1
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Business,3
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Government (Diplomatic),4
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Military,2
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),Police,1
Al-Mujahedin Brigades (Palestine),Police,1
Al-Mus'abi Tribe,Private Citizens & Property,1
Al-Naqshabandiya Army,Business,3
Al-Naqshabandiya Army,Military,14
Al-Naqshabandiya Army,Police,1
Al-Naqshabandiya Army,Private Citizens & Property,12
Al-Naqshabandiya Army,Terrorists/Non-State Militia,2
Al-Naqshabandiya Army,Unknown,3
Al-Nasir Army (Syria),Private Citizens & Property,2
Al-Nasir Army (Syria),Transportation,1
Al-Nasireen Group,Police,2
Al-Nasireen Group,Transportation,1
Al-Nasirin (India),Military,1
Al-Nasirin (India),Private Citizens & Property,1
Al-Nawaz,Transportation,1
Al-Nusrah Front,Business,9
Al-Nusrah Front,Educational Institution,2
Al-Nusrah Front,Government (Diplomatic),2
Al-Nusrah Front,Government (General),14
Al-Nusrah Front,Journalists & Media,16
Al-Nusrah Front,Military,103
Al-Nusrah Front,NGO,1
Al-Nusrah Front,Police,12
Al-Nusrah Front,Private Citizens & Property,86
Al-Nusrah Front,Religious Figures/Institutions,13
Al-Nusrah Front,Terrorists/Non-State Militia,11
Al-Nusrah Front,Transportation,3
Al-Nusrah Front,Unknown,4
Al-Nusrah Front,Violent Political Party,1
Al-Qaida,Airports & Aircraft,3
Al-Qaida,Business,7
Al-Qaida,Educational Institution,1
Al-Qaida,Government (Diplomatic),4
Al-Qaida,Government (General),9
Al-Qaida,Maritime,1
Al-Qaida,Military,12
Al-Qaida,Police,3
Al-Qaida,Private Citizens & Property,13
Al-Qaida,Religious Figures/Institutions,3
Al-Qaida,Tourists,1
Al-Qaida,Transportation,16
Al-Qaida,Violent Political Party,1
Al-Qaida Kurdish Battalions (AQKB),Government (General),2
Al-Qaida Network for Southwestern Khulna Division,Government (General),2
Al-Qaida Organization for Jihad in Sweden,Government (General),1
Al-Qaida in Iraq,Airports & Aircraft,1
Al-Qaida in Iraq,Business,50
Al-Qaida in Iraq,Educational Institution,7
Al-Qaida in Iraq,Food or Water Supply,1
Al-Qaida in Iraq,Government (Diplomatic),11
Al-Qaida in Iraq,Government (General),61
Al-Qaida in Iraq,Journalists & Media,1
Al-Qaida in Iraq,Military,68
Al-Qaida in Iraq,Other,3
Al-Qaida in Iraq,Police,123
Al-Qaida in Iraq,Private Citizens & Property,232
Al-Qaida in Iraq,Religious Figures/Institutions,17
Al-Qaida in Iraq,Telecommunication,2
Al-Qaida in Iraq,Terrorists/Non-State Militia,33
Al-Qaida in Iraq,Tourists,2
Al-Qaida in Iraq,Transportation,12
Al-Qaida in Iraq,Unknown,10
Al-Qaida in Iraq,Utilities,3
Al-Qaida in Iraq,Violent Political Party,1
Al-Qaida in Lebanon,Military,1
Al-Qaida in Saudi Arabia,Business,4
Al-Qaida in Saudi Arabia,Government (General),1
Al-Qaida in Saudi Arabia,Private Citizens & Property,3
Al-Qaida in Yemen,Business,1
Al-Qaida in Yemen,Government (Diplomatic),3
Al-Qaida in Yemen,Military,2
Al-Qaida in Yemen,Police,3
Al-Qaida in Yemen,Tourists,2
Al-Qaida in Yemen,Utilities,1
Al-Qaida in the Arabian Peninsula (AQAP),Airports & Aircraft,6
Al-Qaida in the Arabian Peninsula (AQAP),Business,21
Al-Qaida in the Arabian Peninsula (AQAP),Educational Institution,7
Al-Qaida in the Arabian Peninsula (AQAP),Government (Diplomatic),18
Al-Qaida in the Arabian Peninsula (AQAP),Government (General),148
Al-Qaida in the Arabian Peninsula (AQAP),Journalists & Media,5
Al-Qaida in the Arabian Peninsula (AQAP),Maritime,2
Al-Qaida in the Arabian Peninsula (AQAP),Military,464
Al-Qaida in the Arabian Peninsula (AQAP),NGO,2
Al-Qaida in the Arabian Peninsula (AQAP),Other,1
Al-Qaida in the Arabian Peninsula (AQAP),Police,121
Al-Qaida in the Arabian Peninsula (AQAP),Private Citizens & Property,83
Al-Qaida in the Arabian Peninsula (AQAP),Religious Figures/Institutions,7
Al-Qaida in the Arabian Peninsula (AQAP),Terrorists/Non-State Militia,66
Al-Qaida in the Arabian Peninsula (AQAP),Tourists,3
Al-Qaida in the Arabian Peninsula (AQAP),Unknown,14
Al-Qaida in the Arabian Peninsula (AQAP),Utilities,36
Al-Qaida in the Arabian Peninsula (AQAP),Violent Political Party,16
Al-Qaida in the Indian Subcontinent,Educational Institution,1
Al-Qaida in the Indian Subcontinent,Government (General),2
Al-Qaida in the Indian Subcontinent,Journalists & Media,3
Al-Qaida in the Indian Subcontinent,Military,3
Al-Qaida in the Indian Subcontinent,Police,5
Al-Qaida in the Indian Subcontinent,Private Citizens & Property,3
Al-Qaida in the Islamic Maghreb (AQIM),Airports & Aircraft,1
Al-Qaida in the Islamic Maghreb (AQIM),Business,16
Al-Qaida in the Islamic Maghreb (AQIM),Educational Institution,4
Al-Qaida in the Islamic Maghreb (AQIM),Government (Diplomatic),21
Al-Qaida in the Islamic Maghreb (AQIM),Government (General),17
Al-Qaida in the Islamic Maghreb (AQIM),Journalists & Media,2
Al-Qaida in the Islamic Maghreb (AQIM),Military,79
Al-Qaida in the Islamic Maghreb (AQIM),NGO,4
Al-Qaida in the Islamic Maghreb (AQIM),Other,2
Al-Qaida in the Islamic Maghreb (AQIM),Police,60
Al-Qaida in the Islamic Maghreb (AQIM),Private Citizens & Property,33
Al-Qaida in the Islamic Maghreb (AQIM),Religious Figures/Institutions,2
Al-Qaida in the Islamic Maghreb (AQIM),Terrorists/Non-State Militia,5
Al-Qaida in the Islamic Maghreb (AQIM),Tourists,4
Al-Qaida in the Islamic Maghreb (AQIM),Transportation,5
Al-Qaida in the Islamic Maghreb (AQIM),Unknown,2
Al-Qaida in the Islamic Maghreb (AQIM),Utilities,5
Al-Qaqa Brigade,Military,1
Al-Qaqa Brigade,Private Citizens & Property,3
Al-Sa'iqa,Military,1
Al-Sa'iqa,Terrorists/Non-State Militia,1
Al-Saadawi Militia,Government (General),1
Al-Sadr Brigades,Government (Diplomatic),3
Al-Sawaiq Brigade,Private Citizens & Property,1
Al-Shabaab,Airports & Aircraft,31
Al-Shabaab,Business,169
Al-Shabaab,Educational Institution,24
Al-Shabaab,Food or Water Supply,15
Al-Shabaab,Government (Diplomatic),41
Al-Shabaab,Government (General),464
Al-Shabaab,Journalists & Media,45
Al-Shabaab,Maritime,5
Al-Shabaab,Military,1412
Al-Shabaab,NGO,39
Al-Shabaab,Other,2
Al-Shabaab,Police,253
Al-Shabaab,Private Citizens & Property,596
Al-Shabaab,Religious Figures/Institutions,45
Al-Shabaab,Telecommunication,12
Al-Shabaab,Terrorists/Non-State Militia,33
Al-Shabaab,Tourists,2
Al-Shabaab,Transportation,34
Al-Shabaab,Unknown,56
Al-Shabaab,Utilities,10
Al-Shabaab al-Mu'minin,Military,2
Al-Shabaab al-Mu'minin,Police,1
Al-Shabaab al-Mu'minin,Private Citizens & Property,1
Al-Sham Legion,Airports & Aircraft,1
Al-Sham Legion,Business,1
Al-Sham Legion,Military,4
Al-Shuda Brigade,Military,3
Al-Shuda Brigade,Police,1
Al-Shuda Brigade,Private Citizens & Property,1
Al-Sunna wal Jamma,Police,1
Al-Sunni muslim sect,Private Citizens & Property,1
Al-Toaiman Tribesmen,Government (Diplomatic),1
Al-Toaiman Tribesmen,Utilities,1
Al-Umar Mujahideen,Government (General),3
Al-Umar Mujahideen,Journalists & Media,1
Al-Umar Mujahideen,Police,3
Al-Umar Mujahideen,Private Citizens & Property,3
Al-Umar Mujahideen,Terrorists/Non-State Militia,1
Al-Ummah,Private Citizens & Property,14
Al-Ummah,Violent Political Party,2
Al-Yakin Mujahidin,Police,3
Al-Yakin Mujahidin,Private Citizens & Property,2
Al-Yemenia al-Ulia Tribesmen,Tourists,1
Al-Zaidi Tribe - Mareb,Business,1
Al-Zawiya Syndicates Council,Utilities,1
Al-Zintan Revolutionaries' Military Council,Terrorists/Non-State Militia,1
Al-Zulfikar,Airports & Aircraft,3
Al-Zulfikar,Government (General),1
Al-Zulfikar,Military,1
Al-Zulfikar,Police,1
Al-Zulfikar,Private Citizens & Property,1
Al-Zulfikar,Violent Political Party,1
Albanian National Army (ANA),Government (Diplomatic),1
Albanian National Army (ANA),Government (General),1
Albanian National Army (ANA),Military,2
Albanian National Army (ANA),Police,2
Albanian Separatists,Police,1
Albanian Separatists,Private Citizens & Property,1
Albanian exiles,Business,1
Albanian extremists,Business,7
Albanian extremists,Government (Diplomatic),2
Albanian extremists,Government (General),3
Albanian extremists,Military,1
Albanian extremists,Police,8
Albanian extremists,Private Citizens & Property,23
Albanian extremists,Religious Figures/Institutions,2
Albanian extremists,Tourists,1
Albanian extremists,Transportation,2
Albatros Commando,Military,1
Alcubar group,Private Citizens & Property,1
Alde Hemendik Movement,Police,1
Alejo Calatayu,Police,1
Alejo Calatayu,Religious Figures/Institutions,1
Aleppo Fatah Operations Room,Military,2
Aleppo Fatah Operations Room,Private Citizens & Property,6
Alex Boncayao Brigade (ABB),Airports & Aircraft,1
Alex Boncayao Brigade (ABB),Business,4
Alex Boncayao Brigade (ABB),Government (General),3
Alex Boncayao Brigade (ABB),Police,2
Alex Boncayao Brigade (ABB),Private Citizens & Property,3
Alexander Villalon (YADO),Business,1
Alexandros Grigoropoulos Anarchist Attack Group,Police,1
Alfa 83,Government (General),1
Alfaro Vive,Business,4
Alfaro Vive,Government (Diplomatic),2
Alfaro Vive,Government (General),2
Alfaro Vive,Journalists & Media,6
Alfaro Vive,Military,2
Alfaro Vive,Police,8
Alfaro Vive,Private Citizens & Property,2
Alfaro Vive,Religious Figures/Institutions,1
Algeisk Wolves,Government (Diplomatic),1
Algeisk Wolves,Military,2
Algeria Province of the Islamic State,Military,2
Algeria Province of the Islamic State,Police,7
Algeria Province of the Islamic State,Unknown,1
Algerian Islamic Extremists,Business,13
Algerian Islamic Extremists,Educational Institution,7
Algerian Islamic Extremists,Food or Water Supply,1
Algerian Islamic Extremists,Government (Diplomatic),1
Algerian Islamic Extremists,Government (General),16
Algerian Islamic Extremists,Military,82
Algerian Islamic Extremists,Police,95
